id,nombre,ciudad,distrito,nro_salas
428,Cine Dorita Gracia Pomares S.Com.,Santa Cruz de Tenerife,Ville,6
429,Cine Familia Ruiz S.L.L.,Melilla,Ville,12
430,Cine Comercial AWJL S.L.,Navarra,Ville,6
431,Cine Grupo Perelló S.L.,Córdoba,Ville,7
432,Cine Gloria Mir Carro S.L.L.,Soria,Ville,9
433,Cine Tecnologías Avanzadas S.Coop.,Murcia,Ville,7
434,Cine Promociones HCZ S.Com.,Ciudad,Ville,7
435,Cine Comercial Castellana S.C.P,Ávila,Ville,7
436,Cine Comercializadora del Noroeste S.Coop.,Asturias,Ville,10
437,Cine Hector Expósito Adán S.Coop.,La Coruña,Ville,9
438,Cine Asenjo & Asociados S.L.U.,Vizcaya,Ville,9
439,Cine Grupo Marí S.Com.,Teruel,Ville,12
440,Cine Fábrica Pellicer S.Com.,Lugo,Ville,11
441,Cine Delia Pineda Anaya S.A.,Palencia,Ville,10
442,Cine Araceli Mendez Villar S.L.,Málaga,Ville,7
443,Cine Grupo Murillo S.Coop.,Zamora,Ville,6
444,Cine Distribuciones Amigó & Asociados S.A.,Burgos,Ville,6
445,Cine Arellano y Quevedo S.L.N.E,Girona,Ville,8
446,Cine Torres y Muñoz S.Com.,Navarra,Ville,9
447,Cine Hotel FMU S.Coop.,Ceuta,Ville,9
448,Cine Ariadna Conesa Sotelo S.L.N.E,Barcelona,Ville,10
449,Cine Lucio Lozano Carrillo S.Com.,Tarragona,Ville,6
450,Cine Primitivo Giménez Sala S.A.,Baleares,Ville,6
451,Cine Carvajal y asociados S.A.T.,Granada,Ville,6
452,Cine Servicios Integrales S.Coop.,Córdoba,Ville,6
453,Cine Servicios del Levante S.A.,La Rioja,Ville,8
454,Cine Soluciones Rojas S.C.P,Soria,Ville,10
455,Cine Marita Rosselló Ariza S.A.,Murcia,Ville,6
456,Cine Hermanos Gallardo S.A.,León,Ville,8
457,Cine Grupo Nogués S.Coop.,Zaragoza,Ville,7
458,Cine Grupo Guijarro S.Coop.,Córdoba,Ville,10
459,Cine Logística Jódar S.Coop.,Ciudad,Ville,10
460,Cine Suministros Mármol S.Com.,La Rioja,Ville,8
461,Cine Comercial Española S.A.,Zaragoza,Ville,9
462,Cine Finanzas Baquero y asociados S.L.,Málaga,Ville,11
463,Cine Talleres Lumbreras y asociados S.Com.,Girona,Ville,11
464,Cine Hermanos Infante S.Com.,Granada,Ville,11
465,Cine Hnos Mendizábal S.C.P,Asturias,Ville,12
466,Cine Canals y Alcalde S.L.N.E,Soria,Ville,9
467,Cine Promociones Sanmartín y asociados S.L.U.,Huelva,Ville,11
468,Cine Minería Blanca S.Com.,Guipúzcoa,Ville,8
469,Cine Ferreras y Yáñez S.L.N.E,Las Palmas,Ville,12
470,Cine Consultoría del Mediterráneo S.A.,Toledo,Ville,8
471,Cine Soluciones Integrales S.Com.,Ciudad,Ville,6
472,Cine Montaña & Asociados S.L.U.,Segovia,Ville,7
473,Cine Hermanos Perera S.L.N.E,Córdoba,Ville,9
474,Cine Bueno y Badía S.Coop.,Baleares,Ville,7
475,Cine Talleres Castells & Asociados S.L.,Madrid,Ville,10
476,Cine Transportes LU S.A.,Huesca,Ville,12
477,Cine Apolinar Fernandez Becerra S.L.N.E,Vizcaya,Ville,12
478,Cine Hnos Barroso S.A.,Barcelona,Ville,7
479,Cine Manufacturas UQI S.L.,Navarra,Ville,8
480,Cine Castilla y asociados S.Coop.,Cantabria,Ville,8
481,Cine Industrias Ibarra S.L.,Zamora,Ville,6
482,Cine Banca Privada Mir y asociados S.L.U.,Valencia,Ville,9
483,Cine Banca Privada Avanzadas S.L.N.E,Ciudad,Ville,11
484,Cine Compañía Aller S.L.,Alicante,Ville,7
485,Cine Exposito & Asociados S.A.,Burgos,Ville,11
486,Cine Anunciación Hidalgo Saldaña S.L.,Albacete,Ville,6
487,Cine Grupo Jiménez S.Coop.,Asturias,Ville,6
488,Cine Finanzas SD S.L.,Albacete,Ville,9
489,Cine Hermanos Carballo S.L.,Guipúzcoa,Ville,11
490,Cine Hnos Vives S.A.,Santa Cruz de Tenerife,Ville,12
491,Cine Renata Almeida Casas S.L.L.,Zaragoza,Ville,10
492,Cine Ribas y asociados S.Coop.,Salamanca,Ville,11
493,Cine Flores & Asociados S.Coop.,Huelva,Ville,7
494,Cine Erasmo Vicente Domingo S.A.,Sevilla,Ville,7
495,Cine Hernandez y Torrecilla S.C.P,Cuenca,Ville,11
496,Cine Hermanos Trillo S.L.L.,Lugo,Ville,7
497,Cine Talleres Iberia S.L.,Las Palmas,Ville,11
498,Cine Parejo y Vizcaíno S.Coop.,Santa Cruz de Tenerife,Ville,7
499,Cine Hermanos Castelló S.Com.,Madrid,Ville,8
500,Cine Hnos Carrillo S.Coop.,Jaén,Ville,7
501,Cine Gámez y Robles S.Coop.,Zaragoza,Ville,9
502,Cine Banco Ibarra y asociados S.A.U,Navarra,Ville,11
503,Cine Inmobiliaria Reina y asociados S.Com.,Cáceres,Ville,8
504,Cine Supermercados Bautista y asociados S.Coop.,Tarragona,Ville,10
505,Cine Granados y asociados S.L.N.E,Santa Cruz de Tenerife,Ville,12
506,Cine Banco TIC S.Coop.,Cáceres,Ville,8
507,Cine Celia Tejada Fernandez S.A.,Soria,Ville,12
508,Cine Consultoría SWB S.L.,Valladolid,Ville,11
509,Cine Supermercados Bilbao y asociados S.Com.,Valencia,Ville,7
510,Cine Despacho Guillen S.A.,Girona,Ville,7
511,Cine Grupo Zapata S.Com.,Lugo,Ville,7
512,Cine Restauración Alvarez S.L.L.,Álava,Ville,12
513,Cine Casemiro Garcia Pedraza S.L.,Soria,Ville,10
514,Cine Hermanos Palacio S.A.,Ceuta,Ville,10
515,Cine Ropero & Asociados S.L.,Segovia,Ville,12
516,Cine Ángel y asociados S.A.,Alicante,Ville,9
517,Cine Aller & Asociados S.A.,Castellón,Ville,8
518,Cine Familia Cuéllar S.L.N.E,Granada,Ville,6
519,Cine Narváez y Perez S.L.N.E,Las Palmas,Ville,12
520,Cine Berto Campo Mate S.Com.,Sevilla,Ville,11
521,Cine Calvet y Expósito S.L.,Cáceres,Ville,7
522,Cine Hnos Carmona S.Coop.,Albacete,Ville,11
523,Cine Consultoría Zorrilla S.L.,La Coruña,Ville,6
524,Cine Supermercados RU S.A.U,Cádiz,Ville,10
525,Cine Castañeda y Manso S.L.,Cáceres,Ville,10
526,Cine Grupo Badía S.A.,Castellón,Ville,12
527,Cine Consultoría OJE S.L.,Córdoba,Ville,7
528,Cine Construcción del Mediterráneo S.A.T.,Palencia,Ville,8
529,Cine Soluciones ZM S.L.,Toledo,Ville,9
530,Cine Suministros CW S.L.,Segovia,Ville,11
531,Cine Jódar y Quintero S.A.,Palencia,Ville,9
532,Cine Manufacturas Hurtado y asociados S.Com.,Murcia,Ville,7
533,Cine Buendía y Miralles S.C.P,Valladolid,Ville,11
534,Cine Compañía VBAE S.A.,Almería,Ville,10
535,Cine Bernad y Melero S.L.N.E,Valladolid,Ville,7
536,Cine Hotel YN S.C.P,Ourense,Ville,12
537,Cine Rocha y Nadal S.Coop.,La Rioja,Ville,9
538,Cine Instalaciones MDN S.L.L.,Valencia,Ville,12
539,Cine Consultoría Española S.A.D,Tarragona,Ville,9
540,Cine Suministros JNKF S.L.U.,Santa Cruz de Tenerife,Ville,12
541,Cine Almeida y Briones S.A.,Alicante,Ville,12
542,Cine Manufacturas Española S.L.,Salamanca,Ville,9
543,Cine Instalaciones Buendía S.C.P,Ourense,Ville,8
544,Cine Desarrollo Pujadas S.L.,Ceuta,Ville,11
545,Cine Magdalena Soriano Fajardo S.Coop.,Palencia,Ville,11
546,Cine Infraestructuras XB S.Com.,Granada,Ville,8
547,Cine Manufacturas KD S.Coop.,Alicante,Ville,11
548,Cine Inversiones CM S.C.P,Valencia,Ville,7
549,Cine Logística Castellana S.Com.,Alicante,Ville,9
550,Cine Rey y asociados S.Coop.,Pontevedra,Ville,7
551,Cine Álamo y asociados S.L.,Ávila,Ville,12
552,Cine Toni Roda Gomez S.A.T.,Castellón,Ville,10
553,Cine Distribuciones Silva S.Coop.,Granada,Ville,9
554,Cine Banca Privada Garcia & Asociados S.A.,Teruel,Ville,6
555,Cine Roura y asociados S.L.N.E,Castellón,Ville,11
556,Cine Tecnologías Montaña y asociados S.Coop.,Sevilla,Ville,8
557,Cine Josefa Bermudez Cañellas S.Coop.,Guipúzcoa,Ville,6
558,Cine Blazquez y asociados S.C.P,Melilla,Ville,6
559,Cine Familia Hernando S.Com.,Tarragona,Ville,8
560,Cine Alba Enríquez Pino S.L.,Valencia,Ville,10
561,Cine Hnos Valderrama S.A.,Cuenca,Ville,7
562,Cine Fortuny & Asociados S.Coop.,Huesca,Ville,6
563,Cine Talleres MMWL S.L.L.,Córdoba,Ville,7
564,Cine Banca Privada del Norte S.Com.,Córdoba,Ville,8
565,Cine Áurea Colom Vallés S.Coop.,Guadalajara,Ville,11
566,Cine Inversiones Cobos S.A.T.,Guadalajara,Ville,12
567,Cine Soluciones Acuña S.Coop.,Ourense,Ville,10
568,Cine Banca Privada Ojeda y asociados S.A.,Valencia,Ville,6
569,Cine Fabiana Royo Talavera S.Com.,Almería,Ville,8
570,Cine Eligio Arribas Almeida S.A.,Madrid,Ville,7
571,Cine Cuenca y asociados S.L.,Santa Cruz de Tenerife,Ville,11
572,Cine Hermanos Arce S.Coop.,Segovia,Ville,9
573,Cine Restauración TI S.L.,Badajoz,Ville,8
574,Cine Manufacturas del Levante S.Coop.,Zamora,Ville,6
575,Cine Restauración Huertas S.A.,Girona,Ville,9
576,Cine Gámez y Salom S.Com.,Teruel,Ville,9
577,Cine Desarrollo Reyes S.A.,Cáceres,Ville,6
578,Cine Logística QGGZ S.L.L.,Alicante,Ville,7
579,Cine Grupo Bueno S.Com.,Cáceres,Ville,12
580,Cine Tecnologías ALUR S.Com.,Ávila,Ville,8
581,Cine Transportes Batalla y asociados S.Coop.,La Rioja,Ville,9
582,Cine Desarrollo Mir S.L.,Badajoz,Ville,9
583,Cine Castrillo & Asociados S.L.,Albacete,Ville,8
584,Cine Industrias Inteligentes S.A.,Tarragona,Ville,8
585,Cine Valencia & Asociados S.L.N.E,Baleares,Ville,7
586,Cine Gabaldón y Cabeza S.Coop.,Córdoba,Ville,7
587,Cine Hermanos Hierro S.Coop.,Albacete,Ville,6
588,Cine Restauración JQU S.L.,Cádiz,Ville,12
589,Cine Logística del Levante S.A.,Huesca,Ville,8
590,Cine Comercial Boix & Asociados S.C.P,Burgos,Ville,8
591,Cine González y Azcona S.L.N.E,Cantabria,Ville,8
592,Cine Hermanos Palacio S.L.N.E,Ceuta,Ville,9
593,Cine Hermanos Sobrino S.L.U.,Córdoba,Ville,7
594,Cine Alimentación Tenorio & Asociados S.Com.,Teruel,Ville,7
595,Cine Manufacturas LSW S.Coop.,Salamanca,Ville,7
596,Cine Jordi Orozco Santamaria S.Coop.,Toledo,Ville,11
597,Cine Banca Privada VDM S.A.T.,Castellón,Ville,12
598,Cine Familia Almazán S.A.U,Vizcaya,Ville,12
599,Cine Valcárcel y Sola S.L.,Burgos,Ville,8
600,Cine Distribuciones AEJT S.A.,Albacete,Ville,11
601,Cine Soluciones Batlle S.Coop.,Salamanca,Ville,11
602,Cine Distribuciones del Norte S.A.,Valladolid,Ville,10
603,Cine Construcción del Levante S.C.P,Cuenca,Ville,6
604,Cine Grupo Acevedo S.A.,Albacete,Ville,7
605,Cine Inversiones del Noroeste S.Coop.,Guipúzcoa,Ville,9
606,Cine Hnos Barceló S.Com.,Palencia,Ville,9
607,Cine Transportes Donaire S.Coop.,Alicante,Ville,8
608,Cine Alsina y asociados S.L.,Badajoz,Ville,6
609,Cine Arellano y Cabo S.Coop.,Zaragoza,Ville,9
610,Cine Nadal y Prieto S.L.,Cádiz,Ville,6
611,Cine Industrias Muro y asociados S.L.,Badajoz,Ville,10
612,Cine Infraestructuras Internacionales S.L.U.,Lugo,Ville,7
613,Cine Minería IKJ S.Coop.,Vizcaya,Ville,7
614,Cine Salmerón y Iñiguez S.A.U,Melilla,Ville,10
615,Cine Familia Cueto S.Coop.,Asturias,Ville,10
616,Cine Transportes Iberia S.Coop.,Tarragona,Ville,9
617,Cine Manola Amorós Escolano S.L.,Melilla,Ville,7
618,Cine Cornelio Tejera Ledesma S.Com.,Huelva,Ville,7
619,Cine María Fernanda Gabaldón Torrecilla S.Com.,Castellón,Ville,7
620,Cine Maricruz Vera Plana S.A.T.,Zamora,Ville,10
621,Cine Tecnologías Avanzadas S.L.,Segovia,Ville,9
622,Cine Alimentación Enríquez S.A.,Lugo,Ville,12
623,Cine Familia Mateo S.Coop.,La Coruña,Ville,11
624,Cine Logística Bermejo S.A.,Zamora,Ville,7
625,Cine Talleres Casal y asociados S.L.N.E,Murcia,Ville,7
626,Cine Ovidio Moliner Cámara S.A.,Cádiz,Ville,9
627,Cine Gras & Asociados S.A.,Jaén,Ville,6
628,Cine Banca Privada del Mediterráneo S.L.,Baleares,Ville,12
629,Cine Fábrica SFAJ S.Coop.,Burgos,Ville,9
630,Cine Tecnologías Marín S.Coop.,Valladolid,Ville,9
631,Cine Hnos Carranza S.Com.,Zamora,Ville,9
632,Cine Gárate & Asociados S.A.,Guadalajara,Ville,11
633,Cine Itziar Perales Viñas S.L.N.E,Pontevedra,Ville,8
634,Cine Clarisa Garmendia Bastida S.A.,Soria,Ville,12
635,Cine Primitivo Bonilla Lobo S.Coop.,Lleida,Ville,7
636,Cine Ruperta Ramos Múñiz S.L.N.E,Palencia,Ville,12
637,Cine Hnos Colomer S.L.N.E,Cuenca,Ville,8
638,Cine Tecnologías Ródenas S.L.,Málaga,Ville,6
639,Cine Farmaceútica Figueras S.A.,Cáceres,Ville,11
640,Cine Hermanos Morera S.Com.,Huelva,Ville,10
641,Cine Reyes Nevado Castañeda S.Coop.,Baleares,Ville,11
642,Cine Juan Manuel Grau Doménech S.A.,Navarra,Ville,12
643,Cine Hermanos Figuerola S.Com.,Alicante,Ville,11
644,Cine Banco Guerrero y asociados S.Coop.,Guadalajara,Ville,12
645,Cine Valeria Casares Sanabria S.A.T.,Jaén,Ville,9
646,Cine Requena y Pelayo S.L.U.,Cádiz,Ville,7
647,Cine Comercial LXI S.L.L.,Ciudad,Ville,6
648,Cine Noemí Páez Somoza S.A.,Lleida,Ville,12
649,Cine Banco VEA S.Com.,Huelva,Ville,9
650,Cine Inmobiliaria Segura S.C.P,Granada,Ville,6
651,Cine Tecnologías Meléndez S.L.,León,Ville,7
652,Cine Criado y Prado S.A.,Palencia,Ville,10
653,Cine Tecnologías Revilla S.A.,Pontevedra,Ville,8
654,Cine Distribuciones WZUE S.Coop.,Palencia,Ville,7
655,Cine Construcción Serna S.L.N.E,Huelva,Ville,12
656,Cine Familia Prieto S.L.,Guadalajara,Ville,8
657,Cine Consultoría Ramis S.A.,Castellón,Ville,6
658,Cine Pacheco y Arribas S.Com.,Guadalajara,Ville,8
659,Cine Evelia Gutierrez Morell S.L.,Lugo,Ville,12
660,Cine Despacho XQG S.L.,Burgos,Ville,10
661,Cine Nebot y Ribera S.A.U,Pontevedra,Ville,9
662,Cine Agustín Oliva Saura S.L.,Zamora,Ville,8
663,Cine Distribuciones Integrales S.L.,Girona,Ville,12
664,Cine Infraestructuras León y asociados S.Coop.,Guipúzcoa,Ville,10
665,Cine Supermercados IDST S.L.,Cáceres,Ville,12
666,Cine Agullo & Asociados S.L.U.,Huesca,Ville,6
667,Cine Adadia y asociados S.L.,Zaragoza,Ville,12
668,Cine Familia Vaquero S.L.L.,Las Palmas,Ville,10
669,Cine Correa y asociados S.A.,Asturias,Ville,9
670,Cine Lupita Cerezo Capdevila S.L.,Murcia,Ville,6
671,Cine Diego Viñas Caparrós S.A.,Valencia,Ville,6
672,Cine Tecnologías Ferrera S.L.,Badajoz,Ville,12
673,Cine Hermanos Belmonte S.A.,Santa Cruz de Tenerife,Ville,10
674,Cine Promociones Iberia S.L.L.,Albacete,Ville,11
675,Cine Esparza y Garcés S.L.,Segovia,Ville,12
676,Cine Bárcena y asociados S.A.,La Rioja,Ville,6
677,Cine Enríquez y Andrés S.Coop.,Guadalajara,Ville,12
678,Cine Grupo Montalbán S.Coop.,Córdoba,Ville,6
679,Cine Palacios y asociados S.Coop.,Guadalajara,Ville,6
680,Cine Palomo y Barbero S.C.P,Navarra,Ville,6
681,Cine Claudia Cervera Amor S.A.,La Rioja,Ville,11
682,Cine Compañía Barranco S.L.N.E,La Coruña,Ville,8
683,Cine Inmobiliaria del Norte S.L.,Alicante,Ville,10
684,Cine Distribuciones UV S.L.,Teruel,Ville,8
685,Cine Comercializadora Ibérica S.L.,Ciudad,Ville,7
686,Cine Desarrollo Avanzadas S.A.,Huesca,Ville,8
687,Cine Suministros Ojeda & Asociados S.Com.,Cáceres,Ville,11
688,Cine Clímaco Alvarez Palacios S.A.,Huelva,Ville,9
689,Cine Comercial Alcázar y asociados S.L.N.E,Barcelona,Ville,7
690,Cine Supermercados Zabaleta y asociados S.A.,Palencia,Ville,6
691,Cine Villalobos y Hierro S.Com.,La Coruña,Ville,6
692,Cine Banca Privada Muñoz y asociados S.L.N.E,Ávila,Ville,10
693,Cine Banca Privada Tapia S.Com.,Valladolid,Ville,9
694,Cine Desarrollo Internacionales S.Com.,Lleida,Ville,7
695,Cine Hermanos Rios S.A.,Cuenca,Ville,7
696,Cine Hnos Viña S.L.,Valladolid,Ville,10
697,Cine Logística VJHY S.L.L.,Huesca,Ville,9
698,Cine Lourdes Cueto Guzman S.L.U.,Huesca,Ville,7
699,Cine Hermanos Olivares S.A.,Ceuta,Ville,7
700,Cine Promociones Iberia S.L.N.E,León,Ville,8
701,Cine Transportes XVI S.C.P,Albacete,Ville,6
702,Cine Infraestructuras del Norte S.C.P,Córdoba,Ville,12
703,Cine Eufemia Quintana Morante S.Coop.,León,Ville,6
704,Cine Tur y asociados S.A.,Soria,Ville,9
705,Cine Peña & Asociados S.L.L.,Granada,Ville,8
706,Cine Nevado y Almeida S.L.,Soria,Ville,9
707,Cine Inversiones Domínguez y asociados S.Coop.,Cantabria,Ville,6
708,Cine Servicios Inteligentes S.A.,Salamanca,Ville,11
709,Cine Compañía KYZ S.Com.,Huesca,Ville,8
710,Cine Manufacturas WZ S.L.N.E,Lugo,Ville,7
711,Cine Supermercados del Mediterráneo S.A.,Teruel,Ville,11
712,Cine Menendez y Conde S.Coop.,Vizcaya,Ville,6
713,Cine Benito Bastida Saldaña S.L.N.E,Lugo,Ville,12
714,Cine Minería HP S.C.P,Sevilla,Ville,10
715,Cine Oliva y asociados S.Com.,La Rioja,Ville,11
716,Cine Regina Alcalde Sarabia S.C.P,Cádiz,Ville,10
717,Cine Coll y Vélez S.Coop.,Baleares,Ville,7
718,Cine Coca & Asociados S.L.,Navarra,Ville,10
719,Cine Canet y asociados S.L.L.,Valencia,Ville,6
720,Cine Servicios Meléndez y asociados S.Com.,Guadalajara,Ville,6
721,Cine Solana & Asociados S.L.N.E,Lleida,Ville,8
722,Cine Comercializadora Mayol y asociados S.L.N.E,La Coruña,Ville,9
723,Cine Hermanos Galán S.L.N.E,Zamora,Ville,7
724,Cine Cristina Coronado Busquets S.Coop.,Huesca,Ville,6
725,Cine Jordá y asociados S.L.L.,Navarra,Ville,12
726,Cine Carmelo Jaume Villalonga S.Coop.,Lleida,Ville,10
727,Cine Minería Internacionales S.A.,Soria,Ville,11
728,Cine Transportes WM S.L.,Las Palmas,Ville,9
729,Cine Montserrat & Asociados S.A.U,Girona,Ville,6
730,Cine Hermanos Alcalá S.Com.,Lleida,Ville,7
731,Cine Comercializadora Pereira y asociados S.Coop.,Tarragona,Ville,12
732,Cine Consultoría Globales S.Coop.,Cuenca,Ville,9
733,Cine Banca Privada Aroca S.A.,Palencia,Ville,11
734,Cine Candelas Badía Madrid S.L.,Baleares,Ville,10
735,Cine Banco KUV S.Com.,Barcelona,Ville,11
736,Cine Eli Girón Girona S.A.T.,Valencia,Ville,12
737,Cine Palma y Zamora S.A.,Lugo,Ville,11
738,Cine Tecnologías Luz & Asociados S.C.P,Guipúzcoa,Ville,7
739,Cine Segarra & Asociados S.L.,Sevilla,Ville,7
740,Cine Sanabria y Arcos S.A.T.,Vizcaya,Ville,12
741,Cine Hnos Garcia S.L.,Badajoz,Ville,9
742,Cine Galan y Bello S.Com.,La Coruña,Ville,11
743,Cine Hnos Córdoba S.L.,Teruel,Ville,9
744,Cine Talleres Codina & Asociados S.L.L.,Vizcaya,Ville,7
745,Cine Consultoría TSIO S.L.N.E,Vizcaya,Ville,6
746,Cine Industrias Integrales S.L.,Almería,Ville,8
747,Cine Barrios y Mayol S.L.,La Rioja,Ville,9
748,Cine Soluciones NJ S.L.,Málaga,Ville,10
749,Cine Inversiones Frías S.L.N.E,Palencia,Ville,11
750,Cine Industrias Arias S.L.L.,Lleida,Ville,6
751,Cine Sandoval y Escudero S.C.P,Huesca,Ville,9
752,Cine Grupo Nogués S.L.N.E,Vizcaya,Ville,12
753,Cine Sedano y Alba S.L.N.E,Albacete,Ville,9
754,Cine Quintanilla y asociados S.A.,Málaga,Ville,11
755,Cine Charo Bosch Jordá S.Coop.,Lugo,Ville,9
756,Cine Transportes Suarez S.Com.,La Rioja,Ville,12
757,Cine Familia Abellán S.L.,Navarra,Ville,8
758,Cine Amores y asociados S.L.,Guadalajara,Ville,9
759,Cine Hermanos Valdés S.L.N.E,Asturias,Ville,12
760,Cine Carla Leal Otero S.Coop.,Murcia,Ville,10
761,Cine Promociones Iberia S.Com.,Lugo,Ville,6
762,Cine Nicolau y Plana S.A.,Las Palmas,Ville,8
763,Cine Finanzas VLB S.A.T.,Teruel,Ville,6
764,Cine Desarrollo LZP S.Com.,Córdoba,Ville,11
765,Cine Transportes Ibérica S.Com.,Girona,Ville,9
766,Cine Zabala y Acosta S.A.,Asturias,Ville,7
767,Cine Fábrica Casares S.A.,Jaén,Ville,11
768,Cine Fábrica JK S.L.N.E,Girona,Ville,10
769,Cine Tejera y Roselló S.A.,Almería,Ville,12
770,Cine Fábrica Española S.Coop.,Álava,Ville,7
771,Cine Arias y Ramis S.L.N.E,Cádiz,Ville,6
772,Cine Minería del Norte S.L.,La Rioja,Ville,6
773,Cine Soria y asociados S.L.U.,Cádiz,Ville,10
774,Cine Lucila Gutiérrez Valencia S.Coop.,Baleares,Ville,9
775,Cine Octavio Cadenas Santos S.A.,Valencia,Ville,9
776,Cine Porta & Asociados S.Com.,Ciudad,Ville,6
777,Cine Hotel SPN S.Coop.,Albacete,Ville,9
778,Cine Banca Privada Amor & Asociados S.C.P,Barcelona,Ville,8
779,Cine Sierra & Asociados S.L.L.,Valladolid,Ville,9
780,Cine Comercial Espejo & Asociados S.Coop.,Palencia,Ville,11
781,Cine Hotel Sevilla & Asociados S.L.,Asturias,Ville,11
782,Cine Hnos Reyes S.L.N.E,Lleida,Ville,7
783,Cine Herrera y Cobos S.L.,Burgos,Ville,9
784,Cine Inmobiliaria Roca y asociados S.A.D,Cantabria,Ville,6
785,Cine Hermanos Tello S.A.T.,Guipúzcoa,Ville,10
786,Cine Suministros Ferrández y asociados S.L.N.E,Teruel,Ville,8
787,Cine Transportes XO S.L.N.E,Ávila,Ville,6
788,Cine Pulido & Asociados S.A.U,Burgos,Ville,12
789,Cine Construcción Calderon S.L.N.E,Zaragoza,Ville,7
790,Cine Reguera y asociados S.Coop.,Huesca,Ville,9
791,Cine Banca Privada del Noroeste S.L.,La Rioja,Ville,11
792,Cine Inmobiliaria XDH S.L.L.,Baleares,Ville,11
793,Cine Miró y asociados S.L.,Toledo,Ville,12
794,Cine Hnos Morcillo S.Coop.,Soria,Ville,11
795,Cine Logística YY S.A.,Las Palmas,Ville,9
796,Cine Familia Pareja S.L.,Barcelona,Ville,9
797,Cine Hotel Cañas S.L.N.E,Albacete,Ville,6
798,Cine Talleres SFD S.L.,Castellón,Ville,7
799,Cine Pelayo y Figueroa S.A.,Jaén,Ville,8
800,Cine Comercial Elorza & Asociados S.L.,Ourense,Ville,9
801,Cine Hermanos Gargallo S.L.,Almería,Ville,9
802,Cine Talleres Millán & Asociados S.A.,Huelva,Ville,9
803,Cine Banco OX S.C.P,Zaragoza,Ville,10
804,Cine Hotel Ibéricos S.L.N.E,Huesca,Ville,11
805,Cine Martínez y asociados S.L.L.,Vizcaya,Ville,8
806,Cine Farmaceútica Pujadas S.Com.,Madrid,Ville,11
807,Cine Hermanos Carranza S.L.N.E,Vizcaya,Ville,6
808,Cine Familia Maza S.A.,Zaragoza,Ville,10
809,Cine Soluciones Internacionales S.A.U,Sevilla,Ville,8
810,Cine Finanzas Ibéricos S.A.,Tarragona,Ville,11
811,Cine Tecnologías Valdés S.L.N.E,Huelva,Ville,6
812,Cine Compañía Solsona y asociados S.L.L.,Valladolid,Ville,12
813,Cine Fuente y Nevado S.L.U.,Salamanca,Ville,11
814,Cine Molina & Asociados S.Coop.,Baleares,Ville,10
815,Cine Inversiones Gutierrez S.L.,Lugo,Ville,8
816,Cine Hnos Aranda S.A.,Madrid,Ville,11
817,Cine Moisés Merino Izaguirre S.A.,La Rioja,Ville,12
818,Cine Alcalde y asociados S.L.N.E,Soria,Ville,8
819,Cine Crespo y Prat S.L.L.,Girona,Ville,8
820,Cine Vall y Reguera S.L.,Soria,Ville,10
821,Cine Distribuciones Navarrete S.A.,Badajoz,Ville,9
822,Cine Manufacturas Santana S.L.,Lleida,Ville,8
823,Cine Familia Moles S.A.D,Vizcaya,Ville,12
824,Cine Fábrica Ibérica S.L.,Segovia,Ville,12
825,Cine Hnos Herranz S.L.L.,Ávila,Ville,9
826,Cine Farmaceútica Espada y asociados S.A.,Alicante,Ville,10
827,Cine Grupo Quintanilla S.A.,Barcelona,Ville,8
828,Cine Hermanos Bayo S.L.,Ávila,Ville,12
829,Cine Finanzas Tirado y asociados S.A.,Vizcaya,Ville,11
830,Cine Manufacturas TUMY S.L.L.,Santa Cruz de Tenerife,Ville,12
831,Cine Compañía Ballesteros S.Coop.,Badajoz,Ville,11
832,Cine Talleres Lumbreras S.L.N.E,Santa Cruz de Tenerife,Ville,12
833,Cine Comercial Iberia S.L.L.,Pontevedra,Ville,7
834,Cine Promociones PNYR S.Coop.,Navarra,Ville,10
835,Cine Construcción Ibérica S.Coop.,Murcia,Ville,10
836,Cine Mauricio Uribe Hernando S.L.,Valladolid,Ville,10
837,Cine Banca Privada Jordá S.A.,Salamanca,Ville,6
838,Cine Talleres IS S.L.,Teruel,Ville,11
839,Cine Banca Privada del Sur S.Com.,Almería,Ville,10
840,Cine Inversiones Ribes S.Com.,Álava,Ville,11
841,Cine Soluciones QK S.A.D,Murcia,Ville,9
842,Cine Tecnologías GJ S.Com.,Cuenca,Ville,7
843,Cine Desarrollo CKH S.A.,Málaga,Ville,8
844,Cine Hermanos Lumbreras S.L.U.,Zaragoza,Ville,8
845,Cine Inmobiliaria Gibert S.Coop.,Ceuta,Ville,6
846,Cine Suministros Santamaría S.L.N.E,Jaén,Ville,10
847,Cine Talleres Inteligentes S.Coop.,Zaragoza,Ville,11
848,Cine Catalá y Serrano S.A.,Soria,Ville,10
849,Cine Familia Jove S.Com.,Albacete,Ville,12
850,Cine Infraestructuras Roura S.Com.,Salamanca,Ville,8
851,Cine Marín y Pinto S.L.,Almería,Ville,11
852,Cine Federico Camacho Castilla S.A.,Cuenca,Ville,12
853,Cine Esteve y Pinilla S.L.,Almería,Ville,12
854,Cine Banco AOPE S.C.P,Palencia,Ville,8
855,Cine Perez y asociados S.Com.,Cáceres,Ville,11
856,Cine Lloret y Priego S.A.,Las Palmas,Ville,7
857,Cine Pulido y Cuesta S.L.,Pontevedra,Ville,8
858,Cine Mancebo y Mendizábal S.L.,Granada,Ville,8
